N;REGION;PREFECTURE;CANTON;LOCALITE;INFRASTRUCTURE;SECTEUR;TYPE;STATUT;ETAT;LATITUDE;LONGITUDE;ALTITUDE
7411;MARITIME;GOLFE;AFLAO-SAGBADO;GBLAINKOMEGAN;INSTITUT LA GRANDE ESPERENCE;EDUCATION;COMPLEXE SCOLAIRE;;;6,17795;1,16068;
7414;MARITIME;GOLFE;AFLAO-SAGBADO;YOKOÉ KOPÉGAN;ECOLE PRINCE BEDY;EDUCATION;LYCEE;PUBLIC;;6,18122;1,15635;
7430;MARITIME;GOLFE;AFLAO-SAGBADO;ABLOGOMÈ;INSTITUTION PRIVEE ESSOR;EDUCATION;LYCEE;PUBLIC;;6,18738;1,16372;
7436;MARITIME;GOLFE;AFLAO-SAGBADO;WONYOME;COMPLEXE SCOLAIRE ENTENTE;EDUCATION;COMPLEXE SCOLAIRE;;;6,18927;1,15722;
7439;MARITIME;GOLFE;AFLAO-SAGBADO;AFLAO-SAGBADO LOGOTÉ;COMPLEXE SCOLAIRE LA BONNE SEMENCE;EDUCATION;COMPLEXE SCOLAIRE;;;6,17855;1,12745;
7444;MARITIME;GOLFE;AFLAO-SAGBADO;APÉDOKOÉ  AGOKPANOU;COMPLEXE SCOLAIRE  JEAN GUTEMBERG;EDUCATION;COMPLEXE SCOLAIRE;;;6,19792;1,13603;
7446;MARITIME;GOLFE;AFLAO-SAGBADO;AFLAO-SAGBADO ASSIYÉYÉ;COMPLEXE SCOLAIRE AMITIE CONCORDE;EDUCATION;COMPLEXE SCOLAIRE;;;6,19468;1,14003;
7448;MARITIME;GOLFE;AFLAO-SAGBADO;WONYOME;COMPLEXE SCOLAIRE LA COURRONE D'OR;EDUCATION;COMPLEXE SCOLAIRE;PRIVE;;6,19302;1,15043;
7449;MARITIME;GOLFE;AFLAO-SAGBADO;WONYOME;INSTITUT PRIVE LAÏC LE VAINQUEUR;EDUCATION;COMPLEXE SCOLAIRE;PRIVE;;6,19617;1,15238;
7454;MARITIME;GOLFE;AFLAO-SAGBADO;APÉDOKOÉ  AGOKPANOU;INSTITUT POLYTECHNIQUE DU GOLFE;EDUCATION;LYCEE;PUBLIC;;6,20278;1,14577;
7463;LOME COMMUNE;ARRONDISSEMENT V;TOKOIN OUEST;TOKOIN OUEST;ECOLE ALPHA;EDUCATION;LYCEE;PUBLIC;;6,14265;1,20697;
7465;LOME COMMUNE;ARRONDISSEMENT V;TOKOIN OUEST;TOKOIN OUEST;LYCEE CIFOP;EDUCATION;LYCEE;PUBLIC;;6,14718;1,2033;
7470;LOME COMMUNE;ARRONDISSEMENT V;TOKOIN SOLIDARITE;TOKOIN SOLIDARITE;INSTITUT TECHNIQUE CATHOLIQUE NDE;EDUCATION;LYCEE;PUBLIC;;6,1496;1,21037;
7479;LOME COMMUNE;ARRONDISSEMENT V;TOKOIN SOLIDARITE;TOKOIN SOLIDARITE;LYCEE DE TOKOIN SOLIDARITE;EDUCATION;LYCEE;PUBLIC;;6,15023;1,20463;
7488;LOME COMMUNE;ARRONDISSEMENT II;TOKOIN TAME;TOKOIN TAME;INSTITUT SCOLAIRE BOUAKA;EDUCATION;LYCEE;PUBLIC;;6,1667;1,2262;
7517;LOME COMMUNE;ARRONDISSEMENT II;TOKOIN WUITI;TOKOIN WUITI;LYCEE TOKOIN EST;EDUCATION;LYCEE;PUBLIC;;6,16615;1,23662;
7538;LOME COMMUNE;ARRONDISSEMENT V;TOTSI;TOTSI;ECOLE PRIVEE LAÏQUE LE TRIOMPHE DU DESTIN;EDUCATION;LYCEE;PRIVE;Bon;6,199176;1,185679;36.415405
7582;LOME COMMUNE;ARRONDISSEMENT V;TOTSI;TOTSI;COMPLEXE KOUVAHEY;EDUCATION;LYCEE;PUBLIC;;6,1769;1,19128;
7595;LOME COMMUNE;ARRONDISSEMENT III;WETE;WETE;COMPLEXE SCOLAIRE LA MÉMOIRE;EDUCATION;LYCEE;PUBLIC;;6,14408;1,2627;
7607;LOME COMMUNE;ARRONDISSEMENT I;WETRIVI KONDJI;WETRIVI KONDJI;LYCEE LOME CITE;EDUCATION;LYCEE;PUBLIC;Bon;6,131163;1,222194;14.785889
7614;LOME COMMUNE;ARRONDISSEMENT I;WETRIVI KONDJI;WETRIVI KONDJI;INSTITUT LA PROVIDENCE;EDUCATION;LYCEE;PRIVE;Bon;6,132265;1,223415;25.840942
7620;PLATEAUX;OGOU;GNAGNA;ATAKPAME;COLLEGE SAINT ALBERT LE GRAND (CEG +LYCEE);EDUCATION;LYCEE;CONFESSIONNEL;Bon;7,527819;1,123313;
7640;PLATEAUX;OGOU;GNAGNA;ATAKPAME;LYCEE D'ATAKPAME;EDUCATION;LYCEE;PUBLIC;Bon;7,518686;1,14149;
7662;PLATEAUX;EST-MONO;MORETAN;MORETAN;LYCEE DE MORETAN (+ CEG);EDUCATION;LYCEE;PUBLIC;Bon;8,112978;1,355995;
7707;PLATEAUX;MOYEN-MONO;TADO;TADO;LYCEE DE TADO (LYCEE + CEG);EDUCATION;LYCEE;PUBLIC;Bon;7,141374;1,598973;
7710;PLATEAUX;MOYEN-MONO;TADO;TADO;COLLEGE PROTESTANT (LYCEE + POMPE);EDUCATION;LYCEE;CONFESSIONNEL;Bon;7,148732;1,596782;
7718;PLATEAUX;HAHO;ASRAMA;ASRAMA;LYCEE D'ASRAMA;EDUCATION;LYCEE;PUBLIC;Bon;7,003179;1,415517;
7741;PLATEAUX;HAHO;NOTSE;NOTSE;LYCEE DE NOTSE;EDUCATION;LYCEE;PUBLIC;Bon;6,929107;1,17562;
7747;PLATEAUX;HAHO;NOTSE;NOTSE;COLLEGE NDA + LYCEE;EDUCATION;LYCEE;CONFESSIONNEL;Bon;6,954196;1,177065;
7779;PLATEAUX;AMOU;AMOU-OBLO;AMOU-OBLO;LYCEE DE AMOU-OBLO + CEG;EDUCATION;LYCEE;PUBLIC;Bon;7,40277;0,875902;
7790;PLATEAUX;AKEBOU;DJON;DJON;LYCEE DJON (LYCEE+CEG);EDUCATION;LYCEE;PUBLIC;Bon;7,732553;0,794521;
7833;PLATEAUX;WAWA;BADOU;BADOU;LYCEE DE BADOU;EDUCATION;LYCEE;PUBLIC;Bon;7,594344;0,60851;
7849;PLATEAUX;KPELE;KPELE-DUTOE;AGBANON;LYCEE KPELE-NORD;EDUCATION;LYCEE;PUBLIC;Bon;7,262232;0,797399;
7852;PLATEAUX;KPELE;KPELE-CENTRE/GOUDEVE;GOUDEVE;LYCEE GOUDEVE;EDUCATION;LYCEE;PUBLIC;Bon;7,174599;0,751538;
7863;PLATEAUX;KPELE;KPELE-NOVIVE;ADETA;LYCEE DE ADETA;EDUCATION;LYCEE;PUBLIC;Bon;7,122304;0,728229;
7901;PLATEAUX;KLOTO;WOME;WOME;LYCEE DE WOME + CEG;EDUCATION;LYCEE;PUBLIC;Bon;6,845306;0,580534;
7955;PLATEAUX;AGOU;AMOUSSOUKOPE;AMOUSSOUKOPE;LYCEE D'AMOUSSOUKOPE;EDUCATION;LYCEE;PUBLIC;Mauvais;6,670625;0,842544;
7965;PLATEAUX;OGOU;WOUDOU;ATAKPAME;COLLEGE SAINT ALBERT (CEG, LYCEE);EDUCATION;LYCEE;CONFESSIONNEL;Bon;7,527852;1,123;
7991;PLATEAUX;OGOU;AKPARE;AKPARE;LYCEE AKPARE (CEG+ 2ND);EDUCATION;LYCEE;PUBLIC;Bon;7,474721;1,320504;
8140;PLATEAUX;MOYEN-MONO;KPEKPLEME;KPEKPLEME;LYCEE KPEKPLEME (PUITS + CEG);EDUCATION;LYCEE;PUBLIC;Mauvais;7,336021;1,625343;
8252;PLATEAUX;AMOU;TEMEDJA;TEMEDJA;LYCEE DE TEMEDJA + CEG;EDUCATION;LYCEE;PUBLIC;Bon;7,524112;1,065115;
8309;PLATEAUX;HAHO;WAHALA;WAHALA;LYCEE + CEG WAHALA;EDUCATION;LYCEE;PUBLIC;Bon;7,162811;1,164837;
8372;PLATEAUX;ANIE;ANIE;ANIE;LYCEE D'ANIE;EDUCATION;LYCEE;PUBLIC;Bon;7,774446;1,1914;
8373;PLATEAUX;ANIE;ANIE;ANIE;LYCEE IL VILLE 2;EDUCATION;LYCEE;PUBLIC;Bon;7,736898;1,197727;
8444;PLATEAUX;AMOU;OUMA-AMLAME;AMLAME;LYCEE D'AMLAME;EDUCATION;LYCEE;PUBLIC;Bon;7,457436;0,906531;
8498;PLATEAUX;HAHO;NOTSE;NOTSE;LYCEE PROPONTIDE;EDUCATION;LYCEE;PRIVE;Abandonné;6,941757;1,166807;
8566;PLATEAUX;MOYEN-MONO;TOHOUN;TOHOUN;LYCEE DE TOHOUN;EDUCATION;LYCEE;PUBLIC;Bon;7,047249;1,61378;
8598;PLATEAUX;OGOU;GNAGNA;ATAKPAME;LYCEE  AGBONOU ( CEG + LYCEE);EDUCATION;LYCEE;PUBLIC;Bon;7,506683;1,15332;
8609;PLATEAUX;OGOU;GNAGNA;ATAKPAME;INSTITUT SACRE CŒUR DE L'ENFANT JESUS;EDUCATION;LYCEE;CONFESSIONNEL;Bon;7,526778;1,149166;
